sequence,label
legend flexedbicepsfaceblowingakiss,1
id anyone says song legendary,1
baby baby,1
ouaouou ayah,1
still watching two thousand twenty-two one realized drake,1
justin would make lovely girl maybe used great entertainer,1
justin bieber look sound different thinkingface,0
fifty-four,1
three hundred nine,1
hands listen masterpiece two thousand twenty-two,1
love song redheartredheartcanadacanadacanada,1
remember song literally everywhere also still disliked youtube video,0
drake video,0
luna make look easy best rapper ever,1
wander twelve years ago ok video,0
ga three music track loudlycryingfaceheartexclamation,1
twelve years man,1
international hater,0
twelve dogs like give biscuitsfacewithtearsofjoy,1
find tha heart redhead fill song,1
hey justin may live long life paralysis,1
songs older,1
song favorite,1
many people addict song smilingfacewithhearts,1
om young,0
revisited song nostalgia,1
love song redheartredheartredheart,1
job loudlycryingfaceloudlycryingfaceloudlycryingfaceloudlycryingface,0
feeling never repeated,1
hell nah fast furious,0
love song favorite song smilingfacewithsmilingeyes,1
someone listen song reverse,0
amit hanged desert safari camp jaisalmer rajasthan india,1
buchanan ka pela favourite english song,1
hey thumbsuplightskintone bali,1
geese,1
student crush school smiling smilingfacewithheartssmilingfacewithheartssmilingface,1
jan friend best singer,1
think ever knew song cross job views,1
baby baby baby,1
feel oldfacewithhandovermouth,0
love song,1
twelve years later song ranking sixty-four global music videosfacewithopenmouthfire,0
bear,0
life two thousand twelve life,1
justin never changed lao,0
seeing justin age look always remember bestie looks like justin beamingfacewithsmilingeyesbeamingfacewithsmilingeyesbeamingfacewithsmilingeyesbeamingfacewithsmilingeyesrollingonthefloorlaughingrollingonthefloorlaughing,1
super cool like,1
old memories 2010heartsuit,1
ouououououoooooo,1
justin bieber songs never get oldspeechballoonsmilingfacewithsmilingeyessmilingfacewithsmilingeyesstarstruck,1
one day video least want know smilingfacewithsmilingeyessmilingfacewithhearteyesfaceblowingakisskissingfacewithclosedeyessmilingface phone lot,1
love justin heartexclamation,1
two thousand twenty-two music never get old,1
drake lol,1
brush watching,0
old days,1
baht acacia hai bhai congratulations bhai twenty-seven million people please find attached ca,1
always remind time good times,1
hey justin congratulations marriage,1
va ery gud,0
like baby cryingfacegrowingheart,1
baby bayou baby bustinsilhouettebustinsilhouetteeyeseyesninjadarkskintonecryingcatcryingcatcryingcatcryingcathotfacehotfacehotface,0
two thousand twenty-two grinningfacewithsweat,0
positive energy get album man done sparkles matter much listen never get bored,1
watching horn africa somalianice song,1
slay justin,1
one hundred thirty says step hahaha dice piss pajama,0
delete delete delete youtube remove,0
twelve years still redhead,1
wow baby,1
two thousand ten,0
justin bieber free fire,0
baby,1
"twenty-six million , seventy-two thousand twenty-two",1
soooo shit fucking terrible firefirefirefirefirefirefirefirefire,0
2022kissingface,1
listen song every day lying two weeks eight love song much,1
everyone finds song,1
somebody two thousand twenty-two,0
randomly remembered masterpiece exists,1
love content repetitive,1
love twoyears justin bieber okay,1
voice sounds like girl sorry justin,0
faceblowingakisssmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhaloloudlycryingfaceloudlycryingfacesleepyfacesadbutrelievedfacepensiveface,0
tikkitiaaaaaaaaaaaaaaaaaaaa,0
justin bieber baby music smilingfacewithsmilingeyes,1
nice song redheartredheartredheartredheartredheart,1
two thousand twenty-two july om,0
two thousand twenty-two carevafacewithtearsofjoy,0
coming future smilingfacewithsmilingeyes till listening headphone two thousand forty-five,1
two thousand twenty-two julysmilingfacewithhearteyessmilingfacewithhearteyes,1
legend watching 2022redheartfacewithtearsofjoy,1
fu song tiredfaceredheart,0
leaving comment somebody likes hear,1
anyone notice drake,1
miss,0
one randomly seeing drake video first time 2022flushedfaceflushedface,0
one jeannie blacking member,1
remembered memes two thousand twenty-two,0
understand many dislikes sneezingface,0
surprisingly thirteen years old,1
song twelve years old sixty-four global pot trending,1
heard somewhere watching english movies songs help learn english here26072022 back hereslightlysmilingface,1
two hundred nine,1
2022facewithtearsofjoy,1
many indians comment section,1
listen song makes cry crush boy named torn,1
song old good listening,1
two thousand twenty-two,1
wood,1
listen songs like like song,1
hearing song 2022like,1
justin bieber made good songs,1
drake flushedfacefacescreaminginfearexplodinghead,0
good thumbsupthumbsupthumbsup,1
watching two thousand twenty-two,1
yeah two thousand twenty-two,1
still vibing two thousand twenty-two,1
fun fact song made roderick,1
love bangladesh listing two thousand twenty-two july twenty-six,1
song old still get listening,1
two thousand twenty-two still slaps,0
the girl boy,0
july 26redheart,1
drake music video though lao,1
believe kid thought justin bieber black first time heard radio,0
pause one hundred fourteen see drake therefacewithtearsofjoyfacewithtearsofjoy,1
red,1
song two thousand twenty-two,1
wait drake,1
addicted song,1
amazing song love meredheart,1
help smiling,1
two thousand twenty-two sep twenty-six,1
2022handwithfingerssplayed,1
older song saying lot lol,1
crush justin bieber,0
pensivefacepensivefacepensivefacesparklingheartsparklingheartsparklingheart,0
superb,1
one hundred twenty-three baby da,1
2022tiredfacedroolingface,0
music timemachine takes back best time youth surely one,1
loves song honestly,1
hi fi twenty-six july two thousand twenty-two facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy,1
man sounds like nine year old sixteen,0
well thirteen first love,1
thirteen first love redheartvictoryhandlightskintone,1
love song redheartredheart,1
watching great song two thousand twenty-two smilingfacewithheartsgrinningfacegrinningfacewithbigeyes,1
hello trying make liked comment ever help clicking backhandindexpointingdown,1
facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoynosetalgia,0
song randomly play head rent free,1
song released even born enjoy lot twelve years still rocking,1
subscribe apex apex see,1
come embarrassing justin bieber friday embarrassing rebecca black,0
ex always use song watch together,1
billion,1
time boys bowl cutfacewithtearsofjoy,0
twenty-seven,1
love song heartexclamationheartexclamationheartexclamationheartexclamationheartexclamation,1
years pass bye still love redhead,1
lost dude right sounds like girl,1
lovesmilingfacewithhearts,1
baby baby baby oh,1
yo guys got girlfriend forgive girlfriend break loudlycryingfaceloudlycryingfaceloudlycryingfaceloudlycryingfaceloudlycryingface,0
one best song world,1
let honest guys song one songs changes world marked era,1
canadawomandancingrose,1
legend two thousand twenty-two smilingcatwithhearteyes,1
currently him dislikes facewithtearsofjoy,0
song good soul,1
eyemoutheye,1
song call lukas things getting tough times hope everyone well love,1
justin lindo,1
song basically meant teenagers teenagers back knew real vibe song yesterday really good,1
smilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyespleadingfacestarstruckstarstruckstarstrucksmilingfacewithhearteyessmilingfacewithheartssmilingfacewithheartssmilingfacewithhearteyesstarstrucksmilingfacewithhearteyessmilingfacewithheartssmilingfacewithheartsfaceblowingakissfaceblowingakisskissingfacewithclosedeyeskissingfacewithclosedeyeskissmarkkissmarkkissmarkfaceblowingakisssmilingfacewithheartssmilingfacewithhearteyespleadingfacestarstruckfaceblowingakisskissingfacewithclosedeyesgrowingheartsparklingheartsparklingheartgrowingheartloudlycryingface,1
prefer steve version infant,1
looks like lesbian,0
even never got girl wanted sure girls begging go,1
two thousand twenty-two still hear redheartredheart,1
stop two thousand twenty-two,0
baby love moon back,1
actually kid,1
cute,1
hi big deal friends house head,1
july two thousand twenty-two belieber4l facewithtearsofjoywearyfacehearthandsmediumlightskintone,1
every fourteen yr old girl dreams picked upperclassman looks three yrs younger,1
iconic hair,1
fourteen million dislikes serious folks leave planet earth go mars hate song,0
reading comments nowcrossedfingers,1
game song plays radio ribs everything room even,1
favorite song foreverpensivefacebutterfly,1
song never get old amazing smilingfacewithhearteyes,1
happened trending worldwide twelve years later prince pop indeed,1
twenty-seven view,1
reading 202w,1
oooh,1
israelsatelliteantennaglobeshowingeuropeafricachesspawn,1
hold,1
twelve years ago released sixty-four global top music videoskullandcrossbones,1
bravo winkingface,1
sooo mis song song kids memory,1
baby baby baby oh baby baby baby oh,1
loudlycryingfaceloudlycryingfaceloudlycryingfaceloudlycryingfaceloudlycryingfaceloudlycryingfaceloudlycryingfaceloudlycryingface,0
wow dislikes people must loving song,1
july two thousand twenty-two,0
hey girls,1
let make ab views sparklesclappinghands,1
like twelve,1
song good cute smilingfacewithhearts,1
sabes cantar,0
drugs sex money one hundred pure talent,1
love indiasmilingfacewithhearteyesfaceblowingakissfaceblowingakissfaceblowingakiss,1
two thousand twenty-two facewithtearsofjoy,1
tell watching youtube chanel rollingonthefloorlaughing,0
love videos,1
soooo two thousand twenty-two om facescreaminginfearflushedfacesmilingfacesmilingfacesmilingfacesmilingfacesmilingfacesmilingfacesmilingfacesmilingface love much smilingfacewithhearts,1
pedophile song,0
leaving comment month year someone likes get reminded song heartdecoration,1
enjoy song two thousand twenty-two,1
agent watching two thousand twenty-two august starstruckstarstruck,0
song never get old matter much listen never get bored,1
drake,0
thirty-four thirty-seven,1
song never gets old,1
favorite songs smilingfacewithhearteyesredheart,1
two thousand twenty-two love youredheart,1
song super,1
stress adult life brought back song,0
married wife,1
become adult,0
twelve years later noticed akin suh manfacepalming,0
babyyyyy,1
twenty-five like,1
let honest first song listened kid,1
facevomitingfacevomitingfacevomitingfacevomitingfacevomitingfacevomitingnauseatedface,0
doctoradio,1
justin sixty-nine million subscriber skull,1
crazy song made day born,0
song hits different mute,0
bieber best,1
baby baby baby revolvingheartsrevolvingheartsrevolvingheartstiredfacetiredfacetiredface,1
never noticed drake one hundred twenty,1
lilly,1
fun fact justin bieber highest liked song baby highest disliked song baby,1
love seeing drake hang bunch fourteen year olds hundredpoints,1
favorite songmusicalnoteblackheart,1
seems like lot guys start actually like song see dislikes pretty weirdunamusedface,0
realised today really first love 13moaiokhand nineteen,1
hi two thousand twenty-two,1
justin bieber sister loved songs,1
twelve years old sixty-four trending amazing favorite song classic justin bieber era,1
let honest song trash,0
believe twelve years song used favorite song loudlycryingface,0
feel old yet,0
fun fact two thousand twenty-two mil subs,1
know really release song music platform like youtube notify,0
ten years old heard song really linked good times covid19,1
admit pretended hate song came truth singing shower entire year facewithtearsofjoy still shushingface,0
darn twelve years ago,0
best music,1
yes drake clownface,1
2022here,1
superb performance smilingfacewithhearteyes,1
fell love got strike followed like creep,1
dude newest comments please scroll newest comments dislike song,0
fact bangs like anyways,1
enjoy shiva bhai badshah king,1
sure enjoy shiva bhai music check,1
india proud artists like garden shiva bhai,1
listen shiva bait music delightful ears,1
shiva bhai talented musician notify,1
new song shiva bhai insane,0
simply looking shiva bhai deity eyes quite seductive,1
stream god eyes shiva bhai great song,1
check shiva bhai enjoy genre music wild,1
like badshah king shiva bhai,1
love kind music check shiva bhai guy crazy,1
check shiva bhai music sure like,1
india artists like garden shiva bhai making india proud,1
shiva bait music treat ears check,1
shiva bhai notify cool artist,1
woah shiva bhai new song crazy,1
head shiva bhai god eyes hella addictive,1
stream shiva bhai god eyes sick tune,0
miss old justin biebersadbutrelievedfaceloudlycryingface,0
signofthehornslightskintonesignofthehornslightskintone,1
baby baby baby baby baby baby oh,1
realizing drake music video,1
love song like baby baby oh sorry singing,1
afghanistanafghanistanafghanistanafghanistanafghanistanafghanistanafghanistanafghanistanafghanistanafghanistanafghanistanafghanistanblueheartblueheartblueheartblueheartblueheartblueheartblueheartblueheartblueheart,1
love song best song universesmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessparklingheartsparklingheartsparklingheart love song much,1
twelve years ago,1
really like hope justin bieber life better,1
also know threw bowling ball really hit pins,0
baby baby baby oh baby baby baby oh know sang head pointgrinningface,1
everyone point sang words head babybabybabybaby,1
"two million , five hundred seventy-two thousand twenty-two",1
bra today years old found drake video one hundred fourteen,1
watching two thousand twenty-five,1
years later realized shot universal studios,1
ludacris part song good thing,1
one spotted drake background vid,1
hahaha hahaha justin bieber songs make sensefacewithtearsofjoyfacewithtearsofjoygrinningfacewithsweatrollingonthefloorlaughing,0
love justin bieber peace love justin bieber xo faceblowingakissfaceblowingakisssmilingfacewithopenhands,1
song came one direction thing upsidedownface,0
two thousand twenty-two cool,1
childhood favoriteredheart,1
2022growingheartgrowingheart,1
drake song saw first today,1
omggggg middle school litttle whatta,0
imagine haters justin,0
still see dislike counter him,0
two thousand twenty-two still everyone came search song check views reading commentssmilingfacewithhearteyes,1
ofhow many two thousand twenty-two,0
drake background,1
hated redo youtube,0
let count many people watching song two thousand twenty-two year,1
two thousand twenty-two,0
lol miss day,1
two thousand ten two nineteen,0
two thousand twenty-two seven twenty-four,1
watching memories,1
canadian singers best,1
watching song 2022pensivefaceredheart,1
free fire justin bieber redheartredheartsmilingfacewithsmilingeyesmega collebretion checkmarkbuttonhundredpointsthumbsup,1
best fans songsmilingfacewithhearteyesany old fans smilingfacewithhearteyesraisinghands,1
om love,1
fifteen million views backhandindexpointingdownis,1
love amanda redhead sparklingheart twoyears beatingheart heartsuit sparklingheart,1
see drake,1
2022eyeseyeseyes,1
cool song believe drake video,1
love song cutesmilingfacewithheartssmilingfacewithhearts,1
one saw drake,1
blueheart,1
love india,1
amen told amen,1
masterpiece,1
song overrated underrated time,0
leaving comment month year someone likes comment get remainder song slightlysmilingfaceslightlysmilingfaceredheartsmilingface,1
best song love justin redheartredheart,1
disliked video,0
trending top global music video twelve years,1
fabric song,1
millions,1
grinningfacewithsmilingeyes,1
love,1
2022smilingfacewithhearteyessmilingfacewithhearteyes,1
watching song seven years still song lives heart relievedfacerelievedface,1
hope well soon champ smilingfacewithsmilingeyeswinkingfacewinkingface,1
thirty-five years old listen song kid married,1
free fire justin fiber,1
olivia rodrigo hotfacesavoringfoodhotfacecoldfacefacewithcrossedouteyesredheartorangeheartyellowheartgreenheartblueheartpurpleheartredheartorangeheartyellowheartgreenheartblueheartpurpleheart,1
best song,1
simp,1
nice song heartsuit,1
cute childhood,1
voice like female vocal,1
redheartkissmarkhundredpoints,1
call abnormal first english song relievedface,0
imagine music video sign life earth,0
thumbsuplightskintone2022 watching songsmilingfacewithhearteyes,1
roadside,0
watching two thousand twenty-two,1
wait twelve years ago,0
song die,1
smilingfacewithhearteyessmilingfacewithhearteyeslove indiasmilingfacewithhearteyessmilingfacewithhearteyes,1
watching two thousand twenty-two,1
facevomitingfacevomitingfacevomitingfacevomitingfacevomitingfacevomiting,0
get man seventy mil,1
guys fact job look like paul wesley stefan agree,1
baby ok yea am,1
fun songwinkingfacewithtonguewinkingfacewithtonguezanyfacezanyfacewinkingfacewithtonguezanyfacewinkingfacewithtonguewinkingfacewithtonguewinkingfacewithtonguezanyfacekissingfacewithsmilingeyeskissingfacewithclosedeyessmilingfacewithhearteyessmilingfacewithheartskissingfacewithclosedeyeskissingfacewithsmilingeyes,1
swear feels like yesterday twelve years passed three,1
paaaaaaaaaaaa,0
thumbsupmediumskintonerightfacingfistraisedfistmediumskintone,1
kid come far way become millionaire weeks music video,1
like people feel,1
anyone notice drake need eye doctor,0
show son job started facewithtearsofjoy,1
wor,0
santana,1
miss justin callmehandcallmehand,0
favorite part luca,1
lovelettersmilingfacewithhearts,1
somebody listeningkissmarkgreenheartpurpleheartnewmoonfaceinformationsmilingfacewithsunglassesblueheartspoutingwhalemushroomskull,1
sound like sick,0
speakinghead,0
thirteen therefore one made,0
one song know,1
"twenty-four million , seventy-two thousand twenty-two",1
nice song smilingfacewithhearteyes,1
thank justin bieber let mother listen masterpiece laughed abandoned,1
christmas,1
baby baby baby ohhhhh,1
never hate song,1
back wow song fun nostalgia hits ever pleadingface,1
adorable child may remember taught,1
believe middle school twelve years ago loudlycryingface feel old best childhood ever,1
finally got girl,1
brings back much memories childhood,1
no to,1
else good old songs marathon,1
job we,0
heartsuitfire,1
cute,1
gaysfacewithtearsofjoyfacewithtearsofjoy,1
want see damn dislikes,0
many dislikes facewithtearsofjoy,0
misses justin voice,1
indian attendance shushingfaceyawningfacegrowingheartseenoevilmonkey,1
good music justin bieber expect,1
legends subscribe,1
2022watching people bro,1
overtime listen song never get boredheartsuitvictoryhand,1
fifteen million views,1
favourite songstarstrucksmilingfacewithhearteyes,1
many people watching two thousand twenty-three,1
lovely song smilingfacewithheartssmilingfacewithheartssmilingfacewithhearts,1
manage,1
preety song ever,1
voice like girl oh god facescreaminginfear,0
subscribe thumbs,1
yr still watching masterpiece two thousand twenty-two,1
back break dances thing masterpiece,1
"twenty-three million , seventy-two thousand twenty-two brazil",0
drake hanging around ten year old boy bowling alley,0
world biggest song,1
listening song going thrown never like kissing ewwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww,0
july two thousand twenty-two starstruckstarstruckstarstruckstarstruckstarstruck,1
job views,1
kid ruled world,1
watching 2022raisedhandstarstruck fav songsmilingfacewithsmilingeyes,1
reading comment two thousand twenty-two redheartand still masterpiece pleadingfaceredheart,1
vibes never gets old facewithtearsofjoy,1
nicesmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyes,1
get well soon brotherfirethumbsup,1
two thousand twenty-two see many legends hear,1
justin bieber lil cool favorite youtube like lankybox name justin adamwinkingfacewithtongue,0
still vibing,1
legends still enjoying song two thousand twenty-two,1
reading two thousand twenty-two,1
twelve year,0
smash,1
legends listening two thousand twenty-two july,1
get well soon,1
two thousand twenty-two job face heal pray raisinghandsclappinghandsfoldedhands,1
still scrolling throw comments july two thousand twenty-two raisinghandshandshake,1
comolkko song good,1
evergreen song redhead,1
watching july two thousand twenty-two,0
still listening two thousand twenty-two,0
reading comments july 2022heartonfire,0
anyone still listening song two thousand twenty-two like smilingfacewithopenhands,1
listening song stil two thousand twenty-two,0
preschool came high school heck time slow ya,0
roderick actually better joke opinion,1
girl look like girl friends far,1
drake,1
good job bad sleeping wake morning go fridge throw everything forgot thank goodbye,1
two thousand twenty-two listening song time goes song stays times,1
came,1
kama ria,1
clappinghandsredheart,1
dinner dinner like,1
love sweetheart,1
good like music,1
song still hits sometimes,1
fuck youtube recommended shit two thousand twenty-two,0
want go back time bad loudlycryingface,0
two thousand twenty-two be,1
freeishowspeed,1
damn five posted,0
clappinghandsclappinghandsclappinghandsclappinghandsclappinghandssmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyesvenezuela,1
kill of made watch,0
thirteen billion views backhandindexpointingdownis,1
chad likes song,1
fact sounds like girl loudlycryingface,0
matthew who ball youxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxx,1
